idTiempo,day,month,year
1,1,1,2021
2,1,1,2023
3,1,2,2022
4,1,3,2022
5,1,4,2022
6,1,5,2022
7,1,6,2020
8,1,7,2020
9,1,7,2022
10,1,8,2020
11,1,8,2022
12,1,9,2020
13,1,9,2022
14,1,10,2020
15,1,10,2022
16,1,11,2020
17,1,11,2022
18,1,12,2020
19,1,12,2022
20,2,1,2021
21,2,1,2023
22,2,2,2022
23,2,3,2022
24,2,4,2022
25,2,5,2022
26,2,6,2020
27,2,7,2020
28,2,7,2022
29,2,8,2020
30,2,8,2022
31,2,9,2020
32,2,9,2022
33,2,10,2020
34,2,10,2022
35,2,11,2020
36,2,11,2022
37,2,12,2020
38,2,12,2022
39,3,1,2021
40,3,1,2023
41,3,2,2022
42,3,3,2022
43,3,4,2022
44,3,5,2022
45,3,6,2020
46,3,7,2020
47,3,7,2022
48,3,8,2020
49,3,8,2022
50,3,9,2020
51,3,9,2022
52,3,10,2020
53,3,10,2022
54,3,11,2020
55,3,11,2022
56,3,12,2020
57,3,12,2022
58,4,1,2021
59,4,1,2023
60,4,2,2022
61,4,3,2022
62,4,4,2022
63,4,5,2022
64,4,6,2020
65,4,7,2020
66,4,7,2022
67,4,8,2020
68,4,8,2022
69,4,9,2020
70,4,9,2022
71,4,10,2020
72,4,10,2022
73,4,11,2020
74,4,11,2022
75,4,12,2020
76,4,12,2022
77,5,1,2021
78,5,1,2023
79,5,2,2022
80,5,3,2022
81,5,4,2022
82,5,5,2022
83,5,6,2020
84,5,7,2020
85,5,7,2022
86,5,8,2020
87,5,8,2022
88,5,9,2020
89,5,9,2022
90,5,10,2020
91,5,10,2022
92,5,11,2020
93,5,11,2022
94,5,12,2020
95,5,12,2022
96,6,1,2021
97,6,1,2023
98,6,2,2022
99,6,3,2022
100,6,4,2022
101,6,5,2022
102,6,6,2020
103,6,7,2020
104,6,7,2022
105,6,8,2020
106,6,8,2022
107,6,9,2020
108,6,9,2022
109,6,10,2020
110,6,10,2022
111,6,11,2020
112,6,11,2022
113,6,12,2020
114,6,12,2022
115,7,1,2021
116,7,1,2023
117,7,2,2022
118,7,3,2022
119,7,4,2022
120,7,5,2022
121,7,6,2020
122,7,6,2022
123,7,7,2020
124,7,7,2022
125,7,8,2020
126,7,8,2022
127,7,9,2020
128,7,9,2022
129,7,10,2020
130,7,10,2022
131,7,11,2020
132,7,11,2022
133,7,12,2020
134,7,12,2022
135,8,1,2021
136,8,1,2023
137,8,2,2022
138,8,3,2022
139,8,4,2022
140,8,5,2022
141,8,6,2020
142,8,6,2022
143,8,7,2020
144,8,7,2022
145,8,8,2020
146,8,8,2022
147,8,9,2020
148,8,9,2022
149,8,10,2020
150,8,10,2022
151,8,11,2020
152,8,11,2022
153,8,12,2020
154,8,12,2022
155,9,1,2021
156,9,1,2023
157,9,2,2022
158,9,3,2022
159,9,4,2022
160,9,5,2020
161,9,5,2022
162,9,6,2020
163,9,6,2022
164,9,7,2020
165,9,7,2022
166,9,8,2020
167,9,8,2022
168,9,9,2020
169,9,9,2022
170,9,10,2020
171,9,10,2022
172,9,11,2020
173,9,11,2022
174,9,12,2020
175,9,12,2022
176,10,1,2021
177,10,1,2023
178,10,2,2022
179,10,3,2022
180,10,4,2022
181,10,5,2020
182,10,5,2022
183,10,6,2020
184,10,6,2022
185,10,7,2020
186,10,7,2022
187,10,8,2020
188,10,8,2022
189,10,9,2020
190,10,9,2022
191,10,10,2020
192,10,10,2022
193,10,11,2020
194,10,11,2022
195,10,12,2020
196,10,12,2022
197,11,1,2021
198,11,1,2022
199,11,1,2023
200,11,2,2022
201,11,3,2022
202,11,4,2022
203,11,5,2020
204,11,5,2022
205,11,6,2020
206,11,6,2022
207,11,7,2020
208,11,7,2022
209,11,8,2020
210,11,8,2022
211,11,9,2020
212,11,9,2022
213,11,10,2020
214,11,10,2022
215,11,11,2020
216,11,11,2022
217,11,12,2020
218,11,12,2022
219,12,1,2021
220,12,1,2022
221,12,1,2023
222,12,2,2022
223,12,3,2022
224,12,4,2022
225,12,5,2020
226,12,5,2022
227,12,6,2020
228,12,6,2022
229,12,7,2020
230,12,7,2022
231,12,8,2020
232,12,8,2022
233,12,9,2020
234,12,9,2022
235,12,10,2020
236,12,10,2022
237,12,11,2020
238,12,11,2022
239,12,12,2020
240,12,12,2022
241,13,1,2021
242,13,1,2022
243,13,1,2023
244,13,2,2022
245,13,3,2022
246,13,4,2022
247,13,5,2020
248,13,5,2022
249,13,6,2020
250,13,6,2022
251,13,7,2020
252,13,7,2022
253,13,8,2020
254,13,8,2022
255,13,9,2020
256,13,9,2022
257,13,10,2020
258,13,10,2022
259,13,11,2020
260,13,11,2022
261,13,12,2020
262,13,12,2022
263,14,1,2021
264,14,1,2022
265,14,1,2023
266,14,2,2022
267,14,3,2022
268,14,4,2022
269,14,5,2020
270,14,5,2022
271,14,6,2020
272,14,6,2022
273,14,7,2020
274,14,7,2022
275,14,8,2020
276,14,8,2022
277,14,9,2020
278,14,9,2022
279,14,10,2020
280,14,10,2022
281,14,11,2020
282,14,11,2022
283,14,12,2020
284,14,12,2022
285,15,1,2021
286,15,1,2022
287,15,1,2023
288,15,2,2022
289,15,3,2022
290,15,4,2022
291,15,5,2020
292,15,5,2022
293,15,6,2020
294,15,6,2022
295,15,7,2020
296,15,7,2022
297,15,8,2020
298,15,8,2022
299,15,9,2020
300,15,9,2022
301,15,10,2020
302,15,10,2022
303,15,11,2020
304,15,11,2022
305,15,12,2020
306,15,12,2022
307,16,1,2021
308,16,1,2022
309,16,1,2023
310,16,2,2022
311,16,3,2022
312,16,4,2022
313,16,5,2020
314,16,5,2022
315,16,6,2020
316,16,6,2022
317,16,7,2020
318,16,7,2022
319,16,8,2020
320,16,8,2022
321,16,9,2020
322,16,9,2022
323,16,10,2020
324,16,10,2022
325,16,11,2020
326,16,11,2022
327,16,12,2020
328,16,12,2022
329,17,1,2021
330,17,1,2022
331,17,1,2023
332,17,2,2022
333,17,3,2022
334,17,4,2022
335,17,5,2020
336,17,5,2022
337,17,6,2020
338,17,6,2022
339,17,7,2020
340,17,7,2022
341,17,8,2020
342,17,8,2022
343,17,9,2020
344,17,9,2022
345,17,10,2020
346,17,10,2022
347,17,11,2020
348,17,11,2022
349,17,12,2020
350,17,12,2022
351,18,1,2021
352,18,1,2022
353,18,1,2023
354,18,2,2022
355,18,3,2022
356,18,4,2022
357,18,5,2020
358,18,5,2022
359,18,6,2020
360,18,6,2022
361,18,7,2020
362,18,7,2022
363,18,8,2020
364,18,8,2022
365,18,9,2020
366,18,9,2022
367,18,10,2020
368,18,10,2022
369,18,11,2020
370,18,11,2022
371,18,12,2020
372,18,12,2022
373,19,1,2021
374,19,1,2022
375,19,1,2023
376,19,2,2022
377,19,3,2022
378,19,4,2022
379,19,5,2020
380,19,5,2022
381,19,6,2020
382,19,6,2022
383,19,7,2020
384,19,7,2022
385,19,8,2020
386,19,8,2022
387,19,9,2020
388,19,9,2022
389,19,10,2020
390,19,10,2022
391,19,11,2020
392,19,11,2022
393,19,12,2020
394,19,12,2022
395,20,1,2021
396,20,1,2022
397,20,1,2023
398,20,2,2022
399,20,3,2022
400,20,4,2022
401,20,5,2020
402,20,5,2022
403,20,6,2020
404,20,6,2022
405,20,7,2020
406,20,7,2022
407,20,8,2020
408,20,8,2022
409,20,9,2020
410,20,9,2022
411,20,10,2020
412,20,10,2022
413,20,11,2020
414,20,11,2022
415,20,12,2020
416,20,12,2022
417,21,1,2021
418,21,1,2022
419,21,1,2023
420,21,2,2022
421,21,3,2022
422,21,4,2022
423,21,5,2020
424,21,5,2022
425,21,6,2020
426,21,6,2022
427,21,7,2020
428,21,7,2022
429,21,8,2020
430,21,8,2022
431,21,9,2020
432,21,9,2022
433,21,10,2020
434,21,10,2022
435,21,11,2020
436,21,11,2022
437,21,12,2020
438,21,12,2022
439,22,1,2021
440,22,1,2022
441,22,1,2023
442,22,2,2022
443,22,3,2022
444,22,4,2022
445,22,5,2020
446,22,5,2022
447,22,6,2020
448,22,6,2022
449,22,7,2020
450,22,7,2022
451,22,8,2020
452,22,8,2022
453,22,9,2020
454,22,9,2022
455,22,10,2020
456,22,10,2022
457,22,11,2020
458,22,11,2022
459,22,12,2020
460,22,12,2022
461,23,1,2021
462,23,1,2022
463,23,1,2023
464,23,2,2022
465,23,3,2022
466,23,4,2022
467,23,5,2020
468,23,5,2022
469,23,6,2020
470,23,6,2022
471,23,7,2020
472,23,7,2022
473,23,8,2020
474,23,8,2022
475,23,9,2020
476,23,9,2022
477,23,10,2020
478,23,10,2022
479,23,11,2020
480,23,11,2022
481,23,12,2020
482,23,12,2022
483,24,1,2021
484,24,1,2022
485,24,1,2023
486,24,2,2022
487,24,3,2022
488,24,4,2022
489,24,5,2020
490,24,6,2020
491,24,6,2022
492,24,7,2020
493,24,7,2022
494,24,8,2020
495,24,8,2022
496,24,9,2020
497,24,9,2022
498,24,10,2020
499,24,10,2022
500,24,11,2020
501,24,11,2022
502,24,12,2020
503,24,12,2022
504,25,1,2021
505,25,1,2022
506,25,1,2023
507,25,2,2022
508,25,3,2022
509,25,4,2022
510,25,5,2020
511,25,6,2020
512,25,6,2022
513,25,7,2020
514,25,7,2022
515,25,8,2020
516,25,8,2022
517,25,9,2020
518,25,9,2022
519,25,10,2020
520,25,10,2022
521,25,11,2020
522,25,11,2022
523,25,12,2020
524,25,12,2022
525,26,1,2021
526,26,1,2022
527,26,1,2023
528,26,2,2022
529,26,3,2022
530,26,4,2022
531,26,5,2020
532,26,6,2020
533,26,6,2022
534,26,7,2020
535,26,7,2022
536,26,8,2020
537,26,8,2022
538,26,9,2020
539,26,9,2022
540,26,10,2020
541,26,10,2022
542,26,11,2020
543,26,11,2022
544,26,12,2020
545,26,12,2022
546,27,1,2021
547,27,1,2023
548,27,2,2022
549,27,3,2022
550,27,4,2022
551,27,5,2020
552,27,6,2020
553,27,6,2022
554,27,7,2020
555,27,7,2022
556,27,8,2020
557,27,8,2022
558,27,9,2020
559,27,9,2022
560,27,10,2020
561,27,10,2022
562,27,11,2020
563,27,11,2022
564,27,12,2020
565,27,12,2022
566,28,1,2021
567,28,1,2023
568,28,2,2022
569,28,3,2022
570,28,4,2022
571,28,5,2020
572,28,6,2020
573,28,7,2020
574,28,7,2022
575,28,8,2020
576,28,8,2022
577,28,9,2020
578,28,9,2022
579,28,10,2020
580,28,10,2022
581,28,11,2020
582,28,11,2022
583,28,12,2020
584,28,12,2022
585,29,1,2021
586,29,1,2023
587,29,3,2022
588,29,4,2022
589,29,5,2020
590,29,6,2020
591,29,7,2020
592,29,7,2022
593,29,8,2020
594,29,8,2022
595,29,9,2020
596,29,9,2022
597,29,10,2020
598,29,10,2022
599,29,11,2020
600,29,11,2022
601,29,12,2020
602,29,12,2022
603,30,1,2021
604,30,1,2022
605,30,1,2023
606,30,3,2022
607,30,4,2022
608,30,5,2020
609,30,6,2020
610,30,7,2020
611,30,7,2022
612,30,8,2020
613,30,8,2022
614,30,9,2020
615,30,9,2022
616,30,10,2020
617,30,10,2022
618,30,11,2020
619,30,11,2022
620,30,12,2020
621,30,12,2022
622,31,1,2021
623,31,1,2022
624,31,1,2023
625,31,3,2022
626,31,5,2020
627,31,7,2020
628,31,7,2022
629,31,8,2020
630,31,8,2022
631,31,10,2020
632,31,10,2022
633,31,12,2020
634,31,12,2022
